,Site,Location,Leaf,Mesh,Replicate,k,Gammarus,cased_caddis,caseless_caddis,large_bodied,Xt
137,8,Enclosure,Oak,Coarse,R1,0.013436181,0,0,1,1,3.298
138,8,Enclosure,Oak,Coarse,R2,0.017342915,0,0,0,0,2.93
139,8,Enclosure,Oak,Coarse,R3,0.013176072,0,0,1,1,3.336
140,8,Enclosure,Oak,Coarse,R4,0.013354392,0,0,0,0,3.272
141,9,Enclosure,Oak,Coarse,R1,0.009765554,25,0,0,25,3.66
142,9,Enclosure,Oak,Coarse,R2,0.00744499,23,0,0,23,3.906
143,9,Enclosure,Oak,Coarse,R3,0.01104399,16,3,0,19,3.554
144,9,Enclosure,Oak,Coarse,R4,0.007732851,51,1,0,52,3.961
145,10,Enclosure,Oak,Coarse,R1,0.017492302,7,0,0,7,2.956
146,10,Enclosure,Oak,Coarse,R2,0.019894058,2,1,1,4,2.718
147,10,Enclosure,Oak,Coarse,R3,0.014974644,3,1,0,4,3.118
148,10,Enclosure,Oak,Coarse,R4,0.017576312,13,0,1,14,2.888
149,11,Control,Oak,Coarse,R1,0.012095761,1,0,0,1,3.407
150,11,Control,Oak,Coarse,R2,0.010711237,8,0,1,9,3.56
151,11,Control,Oak,Coarse,R3,0.006046723,4,0,0,4,4.118
152,11,Control,Oak,Coarse,R4,0.013181203,2,1,0,3,3.273
153,12,Control,Oak,Coarse,R1,0.027647096,24,2,2,28,2.097
154,12,Control,Oak,Coarse,R2,0.032534169,3,0,0,3,1.796
155,12,Control,Oak,Coarse,R3,0.023484221,0,0,0,0,2.424
156,12,Control,Oak,Coarse,R4,0.025677246,2,0,0,2,2.271
157,13,Control,Oak,Coarse,R1,0.010464101,0,0,0,0,3.651
158,13,Control,Oak,Coarse,R2,0.0086627,1,0,0,1,3.785
159,13,Control,Oak,Coarse,R3,0.008552092,7,0,0,7,3.854
160,13,Control,Oak,Coarse,R4,0.00429346,1,0,0,1,4.32
161,14,Control,Oak,Coarse,R1,0.006603289,9,0,0,9,4.006
