Site,Location,Days_Exposure,Avg_temp,t_Degree_days,Leaf,Mesh,X0_R1,Xt_R1,X0_R2,Xt_R2,X0_R3,Xt_R3,X0_R4,Xt_R4,k_R1,k_R2,k_R3,k_R4
7,Enclosure,21,6.57681014,138.113013,Oak,Fine,4.921,3.971,4.949,3.855,4.949,3.858,4.948,3.864,0.001553031,0.001808769,0.001803137,0.001790422
8,Enclosure,21,7.0634995,148.333489,Oak,Fine,4.931,4.5,4.957,4.289,5.063,4.053,5.002,4.02,0.000616613,0.000975822,0.001500011,0.001473409
9,Enclosure,21,7.14860279,150.120659,Oak,Fine,5.024,4.118,4.915,4.348,4.95,4.069,4.913,4.051,0.00132466,0.000816515,0.001305552,0.001285106
10,Enclosure,21,7.45223632,156.496963,Oak,Fine,4.921,4.111,4.908,4.094,5.007,4.419,4.978,4.186,0.001149195,0.00115877,0.000798249,0.001107258
11,Control,21,7.1149,149.4129,Oak,Fine,4.906,4.038,4.95,4.166,4.954,4.299,4.994,4.257,0.001303163,0.001154059,0.000949134,0.001068666
12,Control,21,7.1003,149.1063,Oak,Fine,5.029,4.18,4.935,4.444,4.926,4.122,4.924,4.369,0.001240121,0.00070284,0.001195046,0.000802026
13,Control,21,7.0564,148.1844,Oak,Fine,4.967,4.229,5.014,4.394,4.971,4.366,4.944,3.983,0.001085475,0.000890742,0.000875759,0.001458584
14,Control,21,7.0093,147.1953,Oak,Fine,5.006,4.222,4.926,4.15,4.918,4.147,4.971,4.153,0.001157158,0.001164568,0.001158439,0.001221439
15,Control,21,7.1693,150.5553,Oak,Fine,5.061,3.86,4.909,3.793,4.939,3.777,5.015,3.867,0.001799318,0.001713078,0.001781623,0.001726637
1,Downstream,21,8.08104313,169.701906,Oak,Coarse,5.001,3.263,4.944,4.224,4.958,3.914,5.084,4.448,0.002516123,0.000927463,0.001393282,0.000787521
2,Downstream,21,7.11884488,149.495743,Oak,Coarse,4.921,2.878,4.907,3.378,4.974,3.366,5.033,3.247,0.00358817,0.002497589,0.002612109,0.002931754
3,Downstream,21,6.99796321,146.957227,Oak,Coarse,4.935,3.073,4.997,3.017,5.058,3.205,5,3.251,0.003223376,0.00343348,0.003104706,0.002929256
4,Downstream,21,7.08394329,148.762809,Oak,Coarse,4.991,3.701,5.024,3.984,4.964,3.595,4.914,3.882,0.002010134,0.001559127,0.002169009,0.001584655
5,Downstream,21,7.12088566,149.538599,Oak,Coarse,4.949,3.752,4.959,3.443,5.026,4.016,4.98,3.467,0.001851672,0.002439911,0.001500202,0.002421717
6,Enclosure,21,6.49353764,136.36429,Oak,Coarse,5.01,3.684,5.049,3.672,4.956,3.468,5.016,3.774,0.002254526,0.002335316,0.002618141,0.002086304
7,Enclosure,21,6.57681014,138.113013,Oak,Coarse,4.978,4.051,4.99,3.889,4.991,3.98,4.925,3.853,0.001491999,0.001804927,0.001638908,0.001777329
8,Enclosure,21,7.0634995,148.333489,Oak,Coarse,4.911,3.953,4.943,3.95,4.963,3.683,4.947,4.042,0.001462939,0.001511842,0.002010893,0.001362078
9,Enclosure,21,7.14860279,150.120659,Oak,Coarse,4.916,3.829,4.947,4.141,4.944,3.646,4.997,3.933,0.001664604,0.001184674,0.002028662,0.001594952
10,Enclosure,21,7.45223632,156.496963,Oak,Coarse,4.917,3.973,4.977,4.088,4.924,3.752,4.93,4.002,0.001362181,0.00125735,0.001736981,0.00133258
11,Control,21,7.1149,149.4129,Oak,Coarse,4.907,3.55,4.983,3.618,4.936,3.919,4.93,3.803,0.002166581,0.002142457,0.001544169,0.001737124
12,Control,21,7.1003,149.1063,Oak,Coarse,4.913,3.623,4.949,3.162,4.962,3.629,4.95,3.07,0.002042719,0.003004439,0.002098179,0.003203822
13,Control,21,7.0564,148.1844,Oak,Coarse,4.986,3.608,4.979,3.877,4.95,3.909,4.962,3.96,0.002182958,0.001688217,0.001593326,0.00152219
14,Control,21,7.0093,147.1953,Oak,Coarse,4.921,3.806,4.995,3.615,4.98,3.931,5.056,3.85,0.001745524,0.002196711,0.001606954,0.001851299
15,Control,21,7.1693,150.5553,Oak,Coarse,4.938,2.876,5.002,2.87,4.971,3.148,4.959,3.419,0.003590441,0.003689846,0.003034458,0.002469896
