Site,Leaf,Mesh,Location,Days_Exposure,X0_R1,Xt_R1,X0_R2,Xt_R2,X0_R3,Xt_R3,X0_R4,Xt_R4,k_R1,k_R2,k_R3,k_R4
14,Oak,Coarse,Control,31,4.916,4.006,5.021,3.926,4.934,3.803,4.986,4.252,0.006603289,0.007935743,0.008398703,0.00513692
15,Oak,Coarse,Control,31,4.994,2.717,4.985,2.533,5.05,2.873,4.99,2.814,0.01963577,0.021839646,0.018194563,0.018478353
1,Oak,Fine,Downstream,31,4.91,,5.066,,5.069,,4.941,,,,,
2,Oak,Fine,Downstream,31,5.028,4.006,4.967,3.38,5.011,3.519,5.094,4.096,0.007329969,0.01241743,0.011401892,0.007033951
3,Oak,Fine,Downstream,31,4.961,3.51,4.9,3.213,5.051,3.861,4.956,3.731,0.01116101,0.013613875,0.008666452,0.009158796
4,Oak,Fine,Downstream,31,5.006,3.235,5.044,3.412,4.929,3.931,5.048,3.81,0.014084138,0.012609703,0.007298138,0.009076224
5,Oak,Fine,Downstream,31,5.093,3.64,4.931,3.724,4.926,3.421,4.97,3.729,0.010834947,0.00905624,0.011761109,0.009267088
6,Oak,Fine,Enclosure,31,5.004,3.745,4.934,3.65,4.917,3.819,4.968,3.705,0.009348902,0.009723318,0.008151935,0.00946239
7,Oak,Fine,Enclosure,31,5.01,4.018,4.977,4.263,4.964,4.161,5.049,4,0.007117795,0.004995296,0.005692143,0.007512769
8,Oak,Fine,Enclosure,31,5.068,3.898,5.036,3.641,4.993,3.407,5.054,3.748,0.008467183,0.010463024,0.012329187,0.009643795
9,Oak,Fine,Enclosure,31,5.013,4.733,5.061,4.328,4.931,4.148,4.954,4.491,0.001854042,0.00504705,0.00557792,0.003165159
10,Oak,Fine,Enclosure,31,5.007,3.696,4.97,3.606,5.007,3.796,5.068,3.609,0.00979309,0.010349055,0.008931905,0.010952114
11,Oak,Fine,Control,31,4.972,4.127,5.087,4.315,5.062,4.963,4.99,4.152,0.006008756,0.005309385,0.000637138,0.005930509
12,Oak,Fine,Control,31,4.997,3.846,5.067,3.321,5.05,3.494,5.076,4.007,0.008445293,0.013628483,0.011881969,0.00762841
13,Oak,Fine,Control,31,4.977,4.002,5.017,4.287,4.989,4.397,4.944,4.407,0.007033325,0.005072418,0.004074613,0.003709049
14,Oak,Fine,Control,31,5.074,3.851,4.985,3.989,4.911,4.131,4.919,4.078,0.008896665,0.007190091,0.005579293,0.006048341
15,Oak,Fine,Control,31,4.967,3.563,5,3.422,4.98,3.423,5.084,3.628,0.010716553,0.012232669,0.012093953,0.010884414
